target
ООО "МАГИСТРАЛЬ"
ООО "КОЛЬЧУГ-ИНФО"
ООО "БЕНЕФИТ ИНВЕСТ"
ООО "МОБИЛЬНЫЕ ЛИНИИ"
ООО "КОНСУЛЬТАНТ"
ООО "МАКАРОВ И ДРУЗЬЯ"
ООО "АРСЕНАЛ-СЕРВИС"
ООО "ФОРТ-ПЛЮС"
ООО "КРИСТИНА И К"
ООО РЕКЛАМНОЕ АГЕНТСТВО "ОПТОВИК ЧЕРНОЗЕМЬЯ"
ООО "ОРИГАМИ"
ООО "ЭЛСИС"
ООО "ПРОИЗВОДСТВЕННАЯ ФИРМА "ЭРМИ"
ООО ФИРМА "ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ В-ГИС"
ООО "КОНСУЛЬТАНТ - ИНФОРМ"
ООО "КАМЕЛОТ"
ООО "ПИК"
ООО ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР "АКАДЕМ-КЛАСС "
ООО ТОРГОВО-ПРОМЫШЛЕННАЯ ГРУППА КОМПАНИЙ "СЕВЕРО-ЗАПАД"
ООО "ЭНТЕР.КОМ"
ООО "КОМПЬЮТЕР-СЕРВИС"
ООО "КОНСУЛЬТАНТ - ШУЯ"
ООО "УЧЕБНЫЙ ЦЕНТР "КИНЕШМА"
ООО "ЭЛЕКТРОН"
ООО " МЕГАСКОП "
ООО "РАДИОТЕХНИКА"
ООО НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ "АЛЬФА-ДИАГНОСТИКА"
ООО ОБНИНСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР "ПРОГНОЗ"
ООО "ЦЕНТР ИННОВАЦИОННЫХ ПРОГРАММ"
ООО "ВТИ"
ООО "ОЛЕРОН"
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "КАЛУГАПРИБОРСВЯЗЬ"
ООО " ЛЕАМОН "
ООО "ВАША БЕЗОПАСНОСТЬ"
ООО "ЦИФРОВОЙ КАНАЛ"
ООО "РУСТЕЛЕКОМ-КУРСК"
ООО "ВИЗА"
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "НАУЧНО-ПРОИЗВОДСТВЕННАЯ ОРГАНИЗАЦИЯ "РАУМ"
ООО "ТЕТРОН"
ООО "НАЦИОНАЛЬНЫЙ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНЫЙ КОМИТЕТ"
ООО "ТЕЛЕКОМ-СЕРВИС"
ООО "ЮНОНА МОНЕТА"
ООО "ГЕФЕСТ"
ООО "КОД"
ООО "ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"
ООО "БЛИЦ-СЕРВИС"
ООО "МАРКЕТ-АУДИТ"
ООО "ПОЛИТЕРМО"
ООО ЦЕНТР НТТМ "ИСТРА"
ООО "ЦЕНТР ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ "ТЕНЗОМАШ"
ООО "ЛИДЕР-М"
ООО "ЭНТЕХНОМАШ"
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "ФОРТ-СЕРВИС"
ООО "МАЙЯ"
ООО "ВИРИДИМ"
ООО "ПРЕСС-ИНФОРМ"
ООО "ДОМОФОН-СЕРВИС"
ООО "ФИРМА "ТЕЛЕ-СЕРВИС"
ООО ФИРМА "НЭРТИС"
ООО "ПОЛИАНТА"
ООО "ВИАДУК"
ООО "ОПЫТНО-МЕХАНИЧЕСКИЙ ЗАВОД "КРИСТАЛЛ"
ООО "ФИРМА ЛИТАН"
ООО "ЦНА"
ООО "ЭДЕЛЬВЕЙС-Н"
ООО "ПЕРЕСВЕТ ТЕЛЕКОМ"
ООО КУЛЬТУРНО-КОММЕРЧЕСКАЯ ФИРМА "ТОНУС"
ООО "ИМПУЛЬС"
ООО "ИНФОТЕЛЕКОМ СП"
ООО " ТОРГПОСТ"
ООО " БУХОФИС+"
ООО "КОЛЛЕГИЯ"
ООО "ПРАВОВЕД"
ООО "ЯРГУС"
ООО "АЙВЕНГО"
ООО "ДЕКОР-С"
ООО "КЛОТО"
ООО "СПЕКТР-КИП"
ООО "ИНФОРМ"
ООО "АЛЬТЕС-Р"
АКЦИОНЕРНОЕ ОБЩЕСТВО "НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ "АВИАЦИОННАЯ СПЕЦТЕХНИКА"
ООО "СТРОЙВЭЛ"
ООО ФИРМА "ЛЕПТА"
ООО "КВАНТ"
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "КОМПАНИЯ "АЛЫЕ ПАРУСА"
ООО "БИНОМ"
ООО "ТЕЛЕ-МАГ"
ООО "РОСТРА"
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "КУСТОВОЙ ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНЫЙ ЦЕНТР "РЯЗАНЬСТРОЙ"
ООО "СИСТЕМЫ УПРАВЛЕНИЯ БЭСТ"
ООО НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ "ПРОМИКС"
ООО "ТОРУС-ВЕНТ"
ООО "ЦЕНТРАЛЬНОЕ ТУРИСТИЧЕСКОЕ АГЕНТСТВО"
ООО "ИНСТИТУТ ВНЕДРЕНИЯ НОВЫХ МЕДИЦИНСКИХ ТЕХНОЛОГИЙ "РАМЕНА""
ООО "ИНТЕРНЕТМЕДИАКОМ-РЯЗАНЬ"
ООО "РЕГИОНАЛЬНЫЕ ТЕЛЕСИСТЕМЫ"
ООО "КОНСАЛТ-МАРКЕТ"
ООО "ЦЕНТР МИР"
ООО "ТЕХНОПАРК-К"
АКЦИОНЕРНОЕ ОБЩЕСТВО "СМОЛЕНСКЖЕЛДОРСЕРВИС"
ООО "ГАЗЕТА АВОСЬ-КА"
ООО "КНИЖНЫЙ МИР"
ООО " РУСИЧ "
ООО "РЕМБЫТТЕХНИКА"
ООО "ЮНАЙТЕД БИЗНЕС ТВЕРЬ КАССЕРВИС"
ООО "БИЛДИНГ"
ООО "ЦЕНТР РАЗРАБОТКИ\, ИСПЫТАНИЙ И ОБУЧЕНИЯ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ"
ООО "ГРАФ-ДИЗАЙН"
ООО "БЕЖЕЦКОЕ НЕЗАВИСИМОЕ ТЕЛЕВИДЕНИЕ"
ООО "АЛТЭЯ"
ООО "ЛОТ"
